식품명,식품대분류명,에너지(kcal),탄수화물(g),단백질(g),지방(g),당류(g),식품중량
케이크_생딸기요거트 케이크,빵,265,25.0,4.0,17.0,14.0,690g
케이크_생딸기치즈 케이크,빵,250,18.0,3.0,18.0,11.0,610g
케이크_세븐컬러스 조각 케이크,빵,320,27.0,5.0,22.0,15.0,100g
케이크_스트로베리서프라이즈 케이크,빵,275,22.0,3.0,19.0,13.0,610g
케이크_스틱 치즈 케이크,빵,320,30.0,8.0,18.0,18.0,50g
케이크_우유가득생크림 케이크 1호,빵,250,21.0,3.0,17.0,13.0,690g
케이크_우유가득생크림 케이크 2호,빵,250,21.0,4.0,17.0,13.0,980g
케이크_우유듬뿍생크림 케이크(블라썸) 1호,빵,260,20.0,4.0,18.0,14.0,510g
케이크_우유듬뿍생크림 케이크(블라썸) 2호,빵,255,21.0,4.0,17.0,15.0,710g
케이크_우유듬뿍생크림 케이크(블라썸) 3호,빵,265,21.0,4.0,18.0,15.0,950g
케이크_우유듬뿍생크림 케이크(선샤인) 1호,빵,260,21.0,3.0,18.0,15.0,540g
케이크_우유듬뿍생크림 케이크(선샤인) 2호,빵,260,21.0,4.0,18.0,15.0,720g
케이크_우유듬뿍생크림 케이크(선샤인) 3호,빵,265,22.0,4.0,18.0,15.0,960g
케이크_우유듬뿍생크림 케이크(선샤인) 6호,빵,270,21.0,4.0,19.0,15.0,1380g
케이크_우유퐁당생크림 케이크 1호,빵,270,23.0,4.0,19.0,13.0,640g
케이크_우유퐁당생크림 케이크 2호,빵,275,24.0,4.0,19.0,14.0,890g
케이크_카라멜 호두 파운드 케이크,빵,499,40.0,7.27,20.91,28.18,110g
케이크_쿠키 앤 크림 스틱 치즈 케이크,빵,350,34.0,8.0,20.0,20.0,50g
케이크_클래식 치즈 케이크 (조각),빵,306,24.44,6.67,20.0,20.0,90g
케이크_허니 케이크,빵,467,42.6,7.7,29.5,23.4,190g
케이크_기분이 초코 생크림,빵,328,27.78,4.44,23.33,13.33,90g
케이크_꿀고구마 생크림 케이크,빵,235,26.0,3.0,14.0,7.0,750g
케이크_딸기 블라썸 케이크,빵,280,19.0,3.0,18.0,11.0,380g
케이크_마스카포네 티라미수,빵,270,23.0,4.0,22.0,14.0,530g
케이크_마이넘버원,빵,280,24.0,4.0,19.0,12.0,700g
케이크_망고 크레이프 볼,빵,246,20.0,3.85,17.69,13.08,130g
케이크_무화과파운드,빵,421,52.7,5.1,21.1,30.8,190g
케이크_바스크 치즈 케이크,빵,362,29.94,5.39,24.55,24.55,167g
케이크_바스크 치즈 케이크,빵,330,21.43,5.36,25.0,16.67,168g
케이크_바스크치즈 케이크,빵,337,18.5,5.5,27.0,7.0,200g
케이크_보랏빛 블루베리 쉬폰,빵,265,29.0,3.0,16.0,16.0,880g
케이크_브라우니,빵,496,39.5,8.3,33.9,30.8,85g
케이크_블레싱레드베리 (4단),빵,200,18.0,3.0,13.0,12.0,740g
케이크_블루베리크로넛,빵,382,39.7,7.2,21.6,13.6,90g
케이크_사르르 연유수플레,빵,325,30.0,5.0,20.0,17.5,40g
케이크_산딸기크로넛,빵,390,38.6,7.0,22.9,12.3,90g
케이크_상큼한 블루베리쉬폰,빵,280,29.0,3.0,17.0,15.0,810g
케이크_생딸기 레어치즈 타르트 (조각),빵,275,22.5,4.17,18.33,15.0,120g
케이크_생딸기 프레지에,빵,280,21.0,4.0,20.0,14.0,550g
케이크_스트로베리 굿굿 생크림,빵,281,25.0,3.75,18.75,13.75,80g
케이크_시나몬크로넛,빵,397,46.8,8.0,19.8,16.2,90g
케이크_우리쌀 막걸리로 만든 강낭콩참쑥빵,빵,211,46.67,4.85,0.55,13.33,165g
케이크_우리쌀 막걸리로 만든 우리 오미자빵,빵,214,47.27,4.85,0.61,13.94,165g
케이크_진한크림치즈 가득 클래식 치즈 케이크,빵,325,26.0,7.0,22.0,25.0,790g
케이크_초코 블라썸 케이크,빵,325,28.0,4.0,23.0,13.0,350g
케이크_초코바닐라 마블쉬폰,빵,315,30.0,4.0,20.0,16.0,560g
케이크_초코반 딸기반,빵,290,25.0,4.0,20.0,12.0,710g
케이크_초코생크림뉴욕롤,빵,436,43.02,5.81,25.58,13.95,86g
케이크_초코크로넛,빵,409,43.6,8.0,22.5,12.6,90g
케이크_클래식 고구마 케이크,빵,315,38.0,4.0,17.0,15.0,850g
케이크_클래식쇼콜라,빵,429,44.3,7.7,24.5,28.5,530g
케이크_티라미수,빵,295,26.6,5.0,18.7,15.1,120g
케이크_흑임자바스크치즈 케이크,빵,344,18.5,6.0,27.5,7.5,200g
크로와상_고구마크로,빵,341,56.1,7.32,10.0,21.0,82g
크로와상_로띠크로,빵,388,51.67,8.33,17.0,8.0,60g
크로와상_블루베리크로,빵,356,50.53,5.26,14.0,21.0,95g
크로와상_사과크로,빵,377,55.79,5.26,15.0,24.0,95g
크로와상_산딸기크로,빵,353,56.84,5.26,12.0,27.0,95g
크로와상_슈크림크로,빵,318,41.05,5.26,15.0,10.0,95g
크로와상_슬라이스햄치즈크로,빵,391,41.46,9.76,21.0,6.0,82g
크로와상_초코트위스트크로,빵,425,53.33,8.0,20.0,9.0,75g
크로와상_크랜베리크로,빵,417,59.38,6.25,17.0,18.0,64g
크로와상_통팥크로,빵,360,52.44,7.32,13.0,23.17,82g
크로와상_기분좋은 초콜릿 크로와상,빵,358,46.15,7.69,13.85,16.92,65g
크로와상_누텔라 초코 바나나 크로와상,빵,201,33.6,3.2,4.8,14.4,125g
크로와상_달콤한크림크라상,빵,405,36.84,7.37,26.32,5.26,95g
크로와상_초코크림 생딸기 크로와상,빵,188,20.0,3.23,4.52,5.81,155g
크로와상_프렌치크라상,빵,453,45.28,7.55,26.42,9.43,53g
크로켓(고로케)_꽃맛살 고로케,빵,295,29.52,6.67,16.19,4.76,105g
크로켓(고로케)_매콤아삭 고로케,빵,273,32.73,6.36,12.73,9.09,110g
크로켓(고로케)_명품잡채 고로케,빵,275,30.0,5.83,15.0,7.5,120g
크로켓(고로케)_야채감자 고로케,빵,304,32.17,6.09,16.52,6.09,115g
크로켓(고로케)_매콤마라모찌 (6개입),빵,313,44.44,1.39,19.44,6.94,72g
크로켓(고로케)_오븐에구운 고로케,빵,263,26.6,5.7,14.9,5.8,200g
크로켓(고로케)_하와이안 비프,빵,233,29.3,8.8,9.0,5.7,180g
크로켓(고로케)_화끈한 마라고로케,빵,310,33.0,7.0,17.0,7.0,100g
크림빵_슈크림빵,빵,298,44.05,7.14,10.71,15.48,84g
크림빵_요구르트 슈스틱,빵,275,21.67,5.0,20.0,13.33,60g
크림빵_우유크림슈,빵,304,21.74,4.35,21.74,8.7,23g
크림빵_단팥생크림빵,빵,297,38.21,4.88,13.82,15.45,123g
크림빵_메론크림빵,빵,322,47.12,5.77,12.5,16.35,104g
크림빵_바닐라 우유 크림슈,빵,326,13.04,4.35,26.09,8.7,23g
크림빵_보슬보슬옥수수크림빵,빵,344,41.11,6.67,16.67,14.44,90g
크림빵_생크림메론크림빵,빵,328,43.1,5.17,14.66,15.52,116g
크림빵_옥수수콘크림샌드,빵,313,38.26,6.09,14.78,12.17,115g
크림빵_왕구름크림빵,빵,359,45.31,6.12,17.14,19.18,245g
크림빵_인생 딸기생크림빵,빵,329,40.0,5.71,17.14,15.24,105g
크림빵_추억의 고구마생크림빵,빵,368,42.73,6.36,17.27,12.73,110g
크림빵_쿠키슈 생크림,빵,343,40.0,4.29,18.57,20.0,70g
크림빵_쿠키슈 커스터드초코크림,빵,427,48.57,8.57,20.0,15.71,70g
크림빵_쿠키슈 커스터드크림,빵,377,44.29,4.29,15.71,24.29,70g
크림빵_쿠키슈 황치즈크림,빵,386,58.57,8.57,15.71,12.86,70g
타르트_뉴욕치즈타르트,빵,390,32.0,8.0,26.0,16.0,50g
타르트_에그타르트,빵,297,38.1,5.9,13.4,11.1,70g
타르트_에그타르트,빵,280,28.0,4.0,16.0,10.0,50g
타르트_호두듬뿍타르트,빵,430,42.0,8.0,26.0,14.0,50g
타르트_오렌지타르트,빵,248,26.27,3.82,14.23,12.35,200g
토스트_햄 치즈 프렌치 토스트,빵,312,28.13,10.0,17.5,5.63,160g
토스트_누텔라 바나나 토스트,빵,208,36.3,3.42,5.48,12.33,146g
토스트_전여친 생각 토스트,빵,379,58.82,5.88,13.24,33.09,136g
토스트_카야 버터치즈 반반 토스트,빵,285,43.16,6.32,11.58,9.47,95g
토스트_카야버터 토스트,빵,321,43.16,5.26,13.68,9.47,95g
토스트_카야치즈 토스트,빵,249,43.16,7.37,8.42,9.47,95g
파이/만주_로스팅호두로더고소한호두파이 (조각),빵,402,44.64,7.14,23.21,26.79,56g
파이/만주_생크림 가득 파이,빵,358,33.9,5.4,22.3,2.6,170g
파이/만주_클래식애플파이,빵,313,34.67,4.0,18.67,6.67,75g
파이/만주_다크초콜릿롤,빵,417,41.9,7.3,24.5,13.7,120g
파이/만주_달콤한딸기롤파이,빵,371,51.61,3.23,16.13,22.58,31g
파이/만주_달콤한딸기롤파이 (2개입),빵,363,50.0,3.23,16.13,22.58,62g
파이/만주_달콤한딸기롤파이 (3개입),빵,366,22.58,3.23,16.13,22.58,93g
파이/만주_달콤한딸기롤파이 (4개입),빵,363,23.39,3.23,16.13,23.39,124g
파이/만주_달콤한딸기롤파이 (5개입),빵,365,50.97,3.23,16.13,23.23,155g
파이/만주_빨미까레 녹차,빵,438,48.75,6.25,22.5,25.0,80g
파이/만주_빨미까레 초코,빵,455,48.75,6.25,25.0,27.5,80g
파이/만주_빨미까레 쿠앤크,빵,403,45.0,6.25,21.25,22.5,80g
파이/만주_쌀콩만주,빵,328,63.3,8.5,4.5,29.1,25g
파이/만주_진한크림치즈롤파이,빵,375,34.38,6.25,25.0,12.5,32g
팥빵_단팥빵,빵,250,45.45,7.27,4.55,16.36,110g
팥빵_호두과자,빵,258,43.33,15.0,3.33,23.33,240g
팥빵_호두단팥빵,빵,261,45.22,6.96,6.09,16.52,115g
팥빵_소보루단팥빵,빵,356,50.0,7.1,17.9,18.9,125g
팥빵_추억의 팥절미빵,빵,273,40.4,9.09,12.12,13.13,99g
팥빵_호두통팥,빵,362,42.3,9.7,17.1,17.9,110g
페이스트리_미니초코칩트위스트,빵,409,45.45,4.55,22.73,18.18,22g
페이스트리_갈릭고구마페스츄리,빵,329,39.05,4.76,17.14,12.38,105g
페이스트리_롤링 페이스트리,빵,383,34.9,6.1,24.3,4.5,130g
페이스트리_미니소시지페스츄리,빵,396,25.0,8.33,29.17,8.33,24g
페이스트리_블루베리 크림치즈 페스츄리,빵,392,32.53,6.02,15.66,14.46,83g
페이스트리_오렌지 페이스트리,빵,277,27.61,4.46,16.68,5.99,190g
페이스트리_오코노미야키 페이스트리,빵,241,22.6,9.0,12.7,2.4,190g
페이스트리_청포도 페이스트리,빵,276,27.7,4.31,16.64,5.76,190g
페이스트리_촉촉한몽블랑,빵,397,43.53,5.88,22.35,15.88,170g
페이스트리_크림치즈데니쉬,빵,384,30.53,6.32,25.26,10.53,95g
페이스트리_페이스트리 앙버터,빵,449,50.1,5.6,25.1,15.5,310g
페이스트리_프렌치뀐아망,빵,485,50.0,5.88,29.41,25.0,68g
프레즐_고구마 프레즐,빵,268,40.09,12.74,6.6,12.26,212g
프레즐_도그 프레즐,빵,167,18.52,11.11,7.41,2.22,135g
프레즐_불고기 프레즐,빵,267,34.78,13.53,8.21,6.28,207g
프레즐_오리지널 프레즐,빵,268,52.14,11.11,2.56,4.27,117g
프레즐_콘 샐러드 프레즐,빵,215,32.41,10.19,5.09,4.17,216g
프레즐_콘 프레즐,빵,242,32.21,12.98,6.73,2.4,208g
프레즐_크림치즈 프레즐,빵,272,43.79,9.8,6.54,5.88,153g
프레즐_페퍼로니 프레즐,빵,216,23.81,13.33,7.62,4.29,210g
프레즐_플레인 프레즐,빵,268,50.43,11.11,2.56,4.27,117g
프레즐_할라피뇨 도그 프레즐,빵,243,26.9,10.34,10.34,6.21,145g
프레즐_햄치즈 프레첼,빵,285,41.4,11.9,8.0,4.2,110g
프레즐_압구정 프레첼,빵,470,43.8,6.8,29.7,10.1,200g
피자_갈릭쉬림프 피자 오리지널 (M),브런치,262,26.22,11.76,11.96,3.92,610g
피자_갈릭스테이크 피자 오리지널 (M),브런치,258,30.12,10.68,9.95,4.85,620g
피자_고구마 피자 (L),브런치,271,31.99,9.79,8.53,7.78,905g
피자_고구마 피자,브런치,258,45.41,11.73,5.61,7.65,785g
피자_고르곤졸라 (L),브런치,364,33.89,18.89,17.22,11.11,180g
피자_고르곤졸라 피자,브런치,384,39.66,18.1,17.24,17.24,116g
피자_고르곤졸라 피자 (L),브런치,355,54.75,22.21,22.48,2.38,505g
피자_고르곤졸라 피자,브런치,322,32.76,16.38,13.79,8.62,932g
피자_고르곤졸라 피자,브런치,303,36.11,16.67,10.0,2.5,480g
피자_골드고구마 피자 (L),브런치,283,37.84,12.51,9.07,4.91,920g
피자_골드고구마 피자 오리지널 (M),브런치,292,25.34,17.2,15.34,5.38,555g
피자_골드바베큐필레 피자 (L),브런치,278,35.47,11.54,9.99,6.05,812g
피자_골드베스트 피자 (L),브런치,266,32.46,10.34,10.51,5.06,810g
피자_골드베이컨 피자 (L),브런치,378,44.99,17.15,14.4,6.6,816g
피자_골드스테이크 피자 (L),브런치,357,35.5,21.22,14.44,6.6,752g
피자_골드프리미엄 불고기 피자 (L),브런치,377,42.67,17.73,15.0,6.37,792g
피자_골드핫치킨 피자 (L),브런치,371,40.61,20.84,13.88,7.18,900g
피자_까르보네 피자,브런치,253,30.98,13.59,8.4,3.8,740g
피자_깐쇼새우 피자,브런치,305,42.59,13.89,8.8,5.09,864g
피자_나폴리 피자,브런치,241,29.7,12.35,8.24,4.12,761g
피자_뉴욕소세지 피자 오리지널 (M),브런치,287,28.4,13.4,14.14,5.15,580g
피자_뉴욕 오리진 피자 오리지널 (L),브런치,251,20.04,12.73,13.33,3.08,1154g
피자_단호박 피자 (L),브런치,261,21.51,9.16,6.07,7.32,1274g
피자_달콤구마 피자,브런치,273,29.76,13.1,10.12,0.6,1347g
피자_닭안심살 피자,브런치,234,29.09,12.73,7.73,3.64,880g
피자_더블갈릭바베큐 피자,브런치,271,33.33,12.12,9.7,7.27,660g
피자_더블불고기 피자 오리지널 (M),브런치,257,38.28,12.5,9.35,5.68,525g
피자_더블포테이토 피자 오리지널 (M),브런치,279,24.37,10.71,12.75,4.46,670g
피자_도이치바이트 피자,브런치,258,32.45,12.23,9.04,3.72,755g
피자_디아블로 (L),브런치,251,22.66,14.03,11.51,5.76,278g
피자_디아블로 피자,브런치,317,39.79,14.14,10.99,13.09,191g
피자_라자냐 시카고 피자,브런치,257,25.93,12.96,11.73,5.56,974g
피자_레드불고기 피자 (L),브런치,241,24.55,11.8,6.6,7.3,986g
피자_리얼불고기 피자 나폴리 (L),브런치,253,28.75,12.19,9.94,5.6,700g
피자_리얼불고기 피자 씬 (L),브런치,273,23.87,12.54,14.12,6.35,587g
피자_리얼불고기 피자 오리지널 (L),브런치,251,31.93,12.34,8.2,4.65,922g
피자_멕시칸바이트 피자,브런치,255,31.63,13.27,8.16,4.59,785g
피자_미트러버 피자,브런치,308,31.11,15.0,13.89,3.33,720g
피자_베이컨체다치즈 피자 (L),브런치,396,34.8,17.05,11.68,3.95,745g
피자_베이컨체더치즈 피자 나폴리 (L),브런치,276,24.59,14.96,12.6,2.87,711g
피자_베이컨체더치즈 피자 오리지널 (L),브런치,275,28.2,12.77,12.31,2.69,902g
피자_불고기 피자 (L),브런치,314,39.12,15.25,10.77,3.41,600g
피자_불고기 피자 (L),브런치,252,26.1,14.79,6.47,6.52,949g
피자_불고기 피자,브런치,247,28.65,14.04,8.43,3.93,715g
피자_블랙앵거스 스테이크 피자 오리지널 (L),브런치,242,29.26,12.0,8.54,4.0,1017g
피자_블랙타이거슈림프 피자 오리지널 (L),브런치,234,31.61,11.0,6.94,3.0,963g
피자_비프갈릭 피자 (L),브런치,262,24.7,13.62,8.67,5.63,939g
피자_비프퀘사디아 피자,브런치,264,33.17,12.38,8.91,3.96,807g
피자_슈퍼디럭스 피자 나폴리 (L),브런치,226,21.7,11.55,10.34,2.37,863g
피자_슈퍼슈프림 피자 나폴리 (L),브런치,211,22.09,10.74,8.86,3.48,970g
피자_슈퍼슈프림 피자 (L),브런치,266,28.78,12.26,8.64,5.33,900g
피자_슈퍼콤비네이션 피자 오리지널 (M),브런치,301,33.64,14.13,14.5,5.43,550g
피자_슈퍼콤비네이션 피자,브런치,254,20.92,13.27,9.69,1.53,1570g
피자_스위트고구마 피자 오리지널 (M),브런치,256,27.45,11.5,8.28,6.19,680g
피자_스위트크림&콘슈 시카고 피자,브런치,269,25.77,11.66,13.5,6.75,979g
피자_스윗고구마무스 피자 (L),브런치,246,23.53,10.23,6.39,7.78,1080g
피자_스테이크 피자,브런치,246,29.7,13.14,8.57,5.14,700g
피자_아이리쉬포테이토 피자,브런치,234,34.58,9.66,6.25,3.98,705g
피자_야채퀘사디아 피자,브런치,249,31.16,13.07,8.04,4.02,797g
피자_야채 피자 (L),브런치,256,28.77,12.91,6.93,6.05,920g
피자_우리 고구마 피자 오리지널 (L),브런치,248,30.42,10.5,9.36,5.7,1070g
피자_직화바베큐 피자,브런치,246,21.67,13.89,8.89,1.11,1440g
피자_직화파인애플 피자,브런치,230,31.89,5.95,6.49,3.78,735g
피자_직화홀릭바이트 피자,브런치,268,32.23,6.2,9.09,2.89,644g
피자_체다바비큐필레 피자 (L),브런치,278,35.47,11.54,9.99,6.05,672g
피자_체다치즈 피자,브런치,298,27.78,16.67,13.49,3.97,1008g
피자_체다콤비네이션 피자 (L),브런치,349,32.04,20.76,15.33,3.24,730g
피자_치즈 피자 나폴리 (L),브런치,262,29.72,12.59,10.34,3.53,556g
피자_치즈 피자 씬 (L),브런치,306,26.3,13.27,16.45,3.53,403g
피자_치즈 피자 오리지널 (L),브런치,260,33.85,13.31,6.32,3.04,766g
피자_치즈바이트 피자 (L),브런치,549,56.57,29.8,22.65,12.04,785g
피자_치즈크러스트 피자 (L),브런치,574,46.83,38.92,25.64,6.68,705g
피자_치즈 피자 (L),브런치,286,30.4,17.33,9.27,5.5,845g
피자_치즈 피자 오리지널 (M),브런치,313,43.61,23.19,15.88,4.35,415g
피자_치즈 피자,브런치,301,36.53,15.53,10.5,4.11,585g
피자_치킨퀘사디아 피자,브런치,258,31.16,14.07,8.28,3.52,797g
피자_콘 크림 피자,브런치,183,14.99,10.09,8.65,2.31,347g
피자_콤비네이션 피자,브런치,260,21.02,13.64,10.23,0.57,1410g
피자_콤비네이션 피자,브런치,252,42.61,14.77,5.68,3.98,710g
피자_콰트로디트로이트 피자,브런치,279,23.23,16.16,14.14,5.05,792g
피자_트러플포테이토 피자,브런치,245,30.39,10.78,8.82,1.96,814g
피자_페파로니 시카고 피자,브런치,288,25.17,14.97,10.88,0.68,880g
피자_페퍼로니 피자 나폴리 (L),브런치,286,24.7,14.8,14.22,2.95,632g
피자_페퍼로니 피자 씬 (L),브런치,321,20.44,14.34,20.23,2.95,502g
피자_페퍼로니 피자 오리지널 (L),브런치,270,29.73,12.77,11.14,2.44,847g
피자_페퍼로니디트로이트 피자,브런치,280,23.47,14.29,14.29,3.06,784g
피자_페퍼로니 피자 (L),브런치,279,32.59,14.92,8.9,6.76,832g
피자_페퍼로니 피자 오리지널 (M),브런치,318,39.74,17.57,19.7,5.41,445g
피자_페퍼로니 피자,브런치,303,25.34,15.07,13.01,0.68,1170g
피자_페퍼로니 피자,브런치,307,37.62,16.19,10.0,3.81,565g
피자_포테이토 피자 오리지널 (L),브런치,222,26.51,9.14,8.79,2.1,1142g
피자_포테이토 피자 오리지널 (M),브런치,239,28.48,9.96,9.42,2.56,631g
피자_포테이토 피자 (L),브런치,271,27.19,9.79,6.92,7.78,945g
피자_포테이토 피자,브런치,299,20.61,13.33,14.55,0.61,1320g
피자_포테이토 피자,브런치,242,31.32,11.54,8.24,3.3,735g
피자_하와이안 피자 오리지널 (M),브런치,268,29.48,14.29,12.86,7.69,545g
피자_하와이언 피자 (L),브런치,232,24.67,12.62,4.67,10.31,1034g
피자_할라피뇨 피자 오리지널 (M),브런치,295,31.07,19.28,15.39,4.82,495g
피자_핫스파이시치킨 피자 오리지널 (M),브런치,288,36.36,13.48,12.87,5.62,535g
피자_핫치킨 피자 (L),브런치,301,36.06,17.44,9.65,4.72,600g
피자_핫치킨 피자,브런치,244,30.9,11.8,7.87,4.49,715g
피자_행복하새우 피자 (L),브런치,241,23.47,13.01,6.86,5.16,970g
피자_흐르쥬퐁듀 시카고 피자,브런치,221,24.32,9.73,6.49,1.62,1112g
피자_고구마 피자 (L),브런치,283,37.84,12.51,9.07,4.91,620g
피자_꽃길만 감자 피자,브런치,198,25.27,8.89,6.87,6.26,927g
피자_뉴욕 오리진 피자 나폴리 (L),브런치,249,21.97,11.6,12.74,3.28,945g
피자_뉴욕 오리진 피자 나폴리 (M),브런치,244,21.31,12.87,11.91,2.54,553g
피자_뉴욕 오리진 피자 더블치즈 엣지 (L),브런치,245,21.38,12.94,11.94,2.41,1342g
피자_뉴욕 오리진 피자 더블치즈 엣지 (M),브런치,264,25.84,13.84,11.66,2.55,806g
피자_뉴욕 오리진 피자 슈퍼시드 화이버 버스트 오리지널 (L),브런치,299,21.35,14.13,14.18,1.66,1351g
피자_뉴욕 오리진 피자 슈퍼시드 화이버 엣지 오리지널 (L),브런치,296,20.49,14.22,11.34,1.1,1322g
피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (L),브런치,257,23.25,11.9,12.87,1.0,1165g
피자_뉴욕 오리진 피자 슈퍼시드 화이버 오리지널 (M),브런치,255,23.01,12.6,12.55,1.5,661g
피자_뉴욕 오리진 피자 슈화 더블 치즈 페퍼로니 엣지 (L),브런치,298,20.38,14.56,14.89,1.07,1362g
피자_뉴욕 오리진 피자 오리지널 (M),브런치,250,24.06,13.24,11.19,2.36,663g
피자_뉴욕 오리진 피자 치즈버스트 오리지널 (L),브런치,234,21.32,12.47,10.94,2.95,1374g
피자_뉴욕페퍼로니 피자,브런치,290,36.18,14.69,11.24,5.33,751g
피자_대만 콘 치즈 감자 피자 나폴리 (L),브런치,253,27.86,8.9,11.73,5.0,793g
피자_대만 콘 치즈 감자 피자 더블치즈 페퍼로니 엣지 (L),브런치,254,25.58,10.32,13.27,3.68,1226g
피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 오리지널 (L),브런치,260,32.66,8.5,10.57,5.0,1002g
피자_대만 콘 치즈 감자 피자 슈화 더블치즈 페퍼로니 엣지 (L),브런치,307,27.85,11.63,13.25,4.94,1199g
피자_대만 콘 치즈 감자 피자 씬 (L),브런치,261,25.38,9.0,13.73,6.5,658g
피자_대만 콘 치즈 감자 피자 오리지널 (L),브런치,257,30.45,9.3,10.89,3.1,1008g
피자_대만 콘 치즈 감자 피자 치즈버스트 나폴리 (L),브런치,259,23.96,10.0,13.59,3.6,1021g
피자_대만 콘 치즈 감자 피자 치즈버스트 오리지널 (L),브런치,257,28.33,9.0,11.96,2.5,1210g
피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 버스트 오리지널 (L),브런치,307,29.03,11.04,12.42,5.75,1188g
피자_대만 콘 치즈 감자 피자 더블치즈 엣지 (L),브런치,250,26.48,9.8,11.66,3.8,1186g
피자_대만 콘 치즈 감자 피자 슈퍼시드 화이버 엣지 오리지널 (L),브런치,304,28.24,11.14,9.14,5.11,1159g
피자_더블불고기 피자 (L),브런치,269,26.29,14.18,11.2,6.53,835g
피자_떡갈비 피자 (L),브런치,318,31.73,18.77,12.93,4.21,526g
피자_리얼불고기 피자 나폴리 (M),브런치,252,29.69,12.66,9.18,4.69,392g
피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (L),브런치,260,26.03,14.31,11.11,3.96,1157g
피자_리얼불고기 피자 더블치즈 페퍼로니 엣지 (M),브런치,261,26.62,13.47,11.31,3.59,681g
피자_리얼불고기 피자 더블치즈 엣지 (L),브런치,256,26.84,13.9,10.27,4.1,1117g
피자_리얼불고기 피자 더블치즈 엣지 (M),브런치,258,26.44,13.1,11.01,3.7,661g
피자_리얼불고기 피자 슈퍼시드 화이버 버스트 오리지널 (L),브런치,303,26.9,13.63,11.55,4.58,1147g
피자_리얼불고기 피자 슈퍼시드 화이버 엣지 오리지널 (L),브런치,300,26.03,13.74,8.13,3.91,1118g
피자_리얼불고기 피자 슈퍼시드 화이버 엣지 오리지널 (M),브런치,312,25.15,14.54,7.86,3.94,656g
피자_리얼불고기 피자 슈퍼시드 화이버 오리지널 (L),브런치,254,30.28,11.0,9.46,3.8,961g
피자_리얼불고기 피자 슈퍼시드 화이버 오리지널 (M),브런치,254,30.55,11.0,9.55,3.8,540g
피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (L),브런치,302,25.71,14.16,12.42,3.78,1158g
피자_리얼불고기 피자 슈화 더블 치즈 페퍼로니 엣지 (M),브런치,314,25.18,14.87,13.01,3.83,676g
피자_리얼불고기 피자 씬 (M),브런치,282,26.05,13.23,13.89,6.73,303g
피자_리얼불고기 피자 오리지널 (M),브런치,258,34.66,11.79,8.0,4.35,508g
피자_리얼불고기 피자 치즈버스트 나폴리 (L),브런치,253,22.9,13.0,12.07,4.7,968g
피자_리얼불고기 피자 치즈버스트 오리지널 (L),브런치,256,27.48,12.0,10.86,4.0,1176g
피자_리치골드 피자 (L),브런치,375,37.16,20.5,14.02,6.1,554g
피자_리코타 페퍼로니 킹덤 피자 나폴리 (L),브런치,259,26.84,11.0,11.86,3.0,683g
피자_리코타 페퍼로니 킹덤 피자 나폴리 (M),브런치,259,24.95,12.0,12.12,4.0,417g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (L),브런치,280,24.13,12.41,14.13,2.6,1080g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 페퍼로니 엣지 (M),브런치,269,23.92,11.43,13.91,2.92,686g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (L),브런치,276,25.94,11.9,13.85,2.7,1040g
피자_리코타 페퍼로니 킹덤 피자 더블치즈 엣지 (M),브런치,266,25.73,11.0,13.07,3.0,666g
피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (L),브런치,259,31.84,10.0,9.95,3.6,883g
피자_리코타 페퍼로니 킹덤 피자 슈퍼시드 화이버 오리지널 (M),브런치,260,30.36,10.8,10.6,3.8,542g
피자_리코타 페퍼로니 킹덤 피자 슈화 더블치즈 페퍼로니 엣지 (L),브런치,266,26.51,11.45,12.96,2.89,1086g
피자_리코타 페퍼로니 킹덤 피자 슈화 더블치즈 페퍼로니 엣지 (M),브런치,270,25.04,12.31,13.84,2.91,678g
피자_리코타 페퍼로니 킹덤 피자 씬 (L),브런치,299,21.39,11.0,18.61,5.0,510g
피자_리코타 페퍼로니 킹덤 피자 씬 (M),브런치,300,20.8,11.9,18.76,5.0,315g
피자_리코타 페퍼로니 킹덤 피자 오리지널 (L),브런치,257,28.34,10.9,11.12,3.0,896g
피자_리코타 페퍼로니 킹덤 피자 오리지널 (M),브런치,257,29.31,10.0,10.89,3.0,542g
피자_리코타 페퍼로니 킹덤 피자 치즈버스트 나폴리 (L),브런치,268,22.77,11.8,14.35,4.0,877g
피자_리코타 페퍼로니 킹덤 피자 치즈버스트 오리지널 (L),브런치,267,24.89,11.0,13.37,3.0,1085g
피자_리코타 페퍼로니 킹덤 피자 화이버 버스트 오리지널 (L),브런치,262,28.2,11.0,11.65,3.5,1083g
피자_리코타 페퍼로니 킹덤 피자 화이버 엣지 오리지널 (L),브런치,262,25.92,10.9,12.7,3.0,1046g
